Category,Item_ID,Name_Key,Desc_Key,Korean (ko),English (en),Japanese (ja),Cost_Fund,Cost_Line,Growth_Rate (r),Effect_LPS,Effect_LPC,Icon_Path
Staff,신입_엔지니어,STR_ROLE_INTERN,STR_DESC_INTERN,인턴 (엔지니어),Intern,インターン,10,0,0.14,1,0,res://icons/s_intern.png
Staff,숙련_프론트엔드,STR_ROLE_FE,STR_DESC_FE,프론트엔드,Front-end,フロントエンド,20,0,0.15,2,0,res://icons/s_frontend.png
Staff,숙련_백엔드,STR_ROLE_BE,STR_DESC_BE,백엔드,Back-end,バックエンド,30,0,0.15,3,0,res://icons/s_backend.png
Staff,베테랑_디자이너,STR_ROLE_DESIGNER,STR_DESC_DESIGNER,UI/UX 디자인,UI/UX Design,UI/UXデザイン,40,0,0.16,4,0,res://icons/s_designer.png
Staff,미들급_기획자,STR_ROLE_PM,STR_DESC_PM,프로덕트 매니저,PM,PM,50,0,0.19,5,0,res://icons/s_pm.png
Staff,숙련_데브옵스,STR_ROLE_DEVOPS,STR_DESC_DEVOPS,데브옵스,DevOps,デブオプス,60,0,0.18,6,0,res://icons/s_devops.png
Upgrade,업무효율_키보드,STR_NAME_U1,STR_DESC_U1,기계식 키보드,Mechanical Keyboard,メカニカルキーボード,10,0,0.13,0,1,res://icons/u_keyboard.png
Upgrade,업무효율_모니터,STR_NAME_U2,STR_DESC_U2,듀얼 4K 모니터,Dual 4K Monitors,デュアル4Kモニター,20,0,0.14,0,2,res://icons/u_monitor.png
Upgrade,환경_디저트제공,STR_NAME_U3,STR_DESC_U3,최고급 원두 커피,Premium Coffee,高級コーヒー,30,0,0.12,0,3,res://icons/u_coffee.png
Upgrade,환경_야근,STR_NAME_U4,STR_DESC_U4,집중용 노이즈캔슬링,Noise Canceling,ノイズキャンセリング,40,0,0.16,0,4,res://icons/u_headphone.png
Project,웹어플_위치정보서비스,STR_NAME_P1,STR_DESC_P1,당근마켓 지역 위치 어플,Local Marketplace App,地域密着型取引アプリ,0,10,0.11,0,0,res://icons/p_market.png
Project,게임_디펜스게임,STR_NAME_P2,STR_DESC_P2,방치형 인디 게임,Idle Indie Game,アイドルインディーゲーム,0,20,0.12,0,0,res://icons/p_game.png
Project,사진어플_인스타그램,STR_NAME_P3,STR_DESC_P3,B612 감성 사진 어플,B612 Photo App,B612 写真アプリ,0,30,0.1,0,0,res://icons/p_photo.png
